прИоритет; прИвилегия; прИбаутка; прИвередливый; прИгожий; прИбор; прИличия
прИстойно; прИесться; прИказ; прИключения; прИкорнуть; прИсяга; прИтеснять
прИчина; прИчуда; прИтязание; прИрода; прИмер; прИческа; прИскорбно; прИволье
прИцел; прИмета; прИверженец; прИлежный; прИчиндалы; прИятный; прИватный
прИнцип; прИмат; прИмитив; прИгодный; прИсниться; прИключение; прИсудить
прИзвание; прИсмотреть; прИспособить; прЕрогатива; прЕамбула; прЕпятствие
прЕпоны; прЕрия; прЕзент; прЕимущество; прЕисподняя; прЕгрешения прЕнебрегать
прЕкословить; прЕпираться; прЕстол; прЕвратный; знак прЕпинания; прЕсловутый
прЕльстить; прЕследовать; прЕподаватель; прЕподнести; прЕпроводить; прЕподобный
прЕсмыкаться; прЕпарировать; прЕлюдия; прЕмьера; прЕстиж; прЕзидент; прЕтензия
прЕзумпция; прЕвентивный; прЕлат; прЕвалировать; прЕзидиум; прЕтендент; прЕферанс
прЕцедент; прЕпарат; прЕодолеть
прИбывать (приезжать); прЕбывать (находиться)
прИзреть (приютить, позаботиться); прЕзреть (пренебречь)
прИтворить (закрыть); прЕтворить (воплотить)
прИклонить (наклонить); прЕклонить (выразить уважение)
прИдать (добавить); прЕдать (пр_даться, выдать)
прИходящий (являющийся); прЕходящий (временный)
прИтерпеться (привыкнуть); прЕтерпеть (пережить)
прИемник (радио); прЕемник (ученик)
прИставить (поставить к чему-либо); прЕставиться (умереть)
прИвратник (сторож); прЕвратности (неприятности)
прИложить (положить вплотную); непрЕложный (незыблемый, нерушимый)
прИдел (пристройка в церкви); прЕдел (граница)
